count,category
1,"system-monitoring"
1,"tanh-activation"
1,"task-errors"
1,"telemetry"
1,"temperature"
1,"terminology"
1,"test-framework"
1,"test-gap"
1,"test-generation"
1,"test-harness"
1,"test-matrix-generation"
1,"test_coverage"
1,"theatrical-claims"
1,"theatrical-computation"
1,"threat-model"
1,"threshold-arbitrary"
1,"timing-bug"
1,"tokenization"
1,"tool-schema"
1,"tooling"
1,"tools-count"
1,"training-architecture"
1,"trait-implementation"
1,"transport"
1,"trigger"
1,"triple-patterns"
1,"trivial-check"
1,"two-stage-soundness"
1,"typescript-patterns"
1,"ui"
1,"undifferentiated"
1,"unicode-attack-missing"
1,"unpacking"
1,"unregistered-module"
1,"unreliable-benchmarks"
1,"unsafe"
1,"unusable-dep"
1,"unused-import"
1,"update-operations"
1,"usage"
1,"utilities"
1,"utility-functions"
1,"utility-methods"
1,"uuid"
1,"vae-support"
1,"validation-errors"
1,"validation-gap"
1,"validation-logic"
1,"variable-attention"
1,"vector-pool-integration"
1,"vector-search"
1,"visualization"
1,"wasm-bindgen-integration"
1,"wasm-errors"
1,"wasm-export"
1,"wasm-integration"
1,"weak-abstraction"
1,"weak-rng"
1,"web-sys-performance-api"
1,"websocket"
1,"websocket-client"
1,"wrapper_status"
1,"zero-integration"
